,topics,reflection
9704,[3],great price and daryl at colwall mot &tyre centre was very helpful
9705,"[9, 11]",all went as per plan 
9706,"[3, 9]",quick delivery and good choice of appointments great communication and kept up to date prior to fitting 
9707,[10],very easy to organise delivery and fitting great service
9708,[2],great choice of tyres at varying price ranges to suit all pockets selecting a local garage was easy for them to be fitted would use again 
9709,"[1, 11]",what ever tyre you want at great prices
9710,"[3, 5]",great tyre price  close fitting location picked fitting location ats extremely professional  
9711,"[1, 11]",quick efficient service  it went without a hitch 
9712,"[1, 6]",friendly and prompt service helpful  i would definitely use this branch again 
9713,"[8, 10]",very good at what they do   very friendly and honest service :)
9714,"[7, 8]",great straightforward process from order to fitting  would happily recommend
9715,"[4, 10]",needed 2 front tyres pretty quickly for a m o t found  com who were very reasonably priced for really good tyres easy to set up at on line and was done in less than 45min at local garage would not hesitate to use them again 
9716,"[3, 8]",excellent tyres and great service would recommend with no problems
9717,"[6, 9]",excellent service tyres delivered on time to fitters and the appointment there was to my wish and the service there was first class 
9718,[4], were ok  but i make a bad choice by going to cambridge performance tyres  over-inflated both front tyres significantly  while their paperwork suggested they should have been correct  also 'lost' one of my nice valve caps 
9719,[11],best price for branded tyres  fitted locally
9720,[1],great service thanks again
9721,"[2, 3]",easy to use website with a wide range of tyres at great prices  excellent service from  fitting centre in tesco silverburn  glasgow
9722,"[1, 3]",great service  great tyres and a great price
9723,[10],very quick service  easy to do and a really good rate 
9724,"[3, 7]",very easy to order online great prices fitted new tyres at a local garage excellent service all round
9725,"[7, 8]",easy order friendly and helpful staff
9726,"[2, 7, 11]",from selecting my tyres to booking the fitting and driving home with new rubber; the process was simple and quick regular offers make it easy to find premium tyres at decent prices 
9727,[10],can't beat  for on price & local fitting service 
9728,[5],went like clockwork
9729,[9],easy to book in the tyre replacement  the garage were aware of the booking  hence they collected similar information)  they did the work in the timeframe they advised and all is good
9730,[2],competitive  easy to use and reliable 
9731,"[7, 11]",whole process from ordering to arranging fitting was easy  i saved £80 compared to kwik-fit etc  
9732,"[2, 6, 7]",first time that i've used   first impression  excellent  the ordering process is very easy  and so is booking an appointment locally  will use again because the price you can save a great selection for the car 
9733,"[0, 3]",excellent cost effective system  very easy to follow and service at tyre centre was equally as good 
9734,"[8, 10]",great price works well with local ats  highly recommended 
9735,"[8, 11]",i was able to purchase high quality tyres saving about £60 00 compared with other tyre dealers  they were paid for online  and i could choose a time to suit me for the fitting  the garage staff were very friendly and helpful 
9736,[5],simple easy process from start to finish
9737,"[3, 4, 5]",get best price on the market for my tyres  excellent service on changing tyres 
9738,[6],good price for tyres easy fitting would recommend to family and friends will be using in the future again
